Savannah MO,4.1,5.4,2.4,3.5,4.6,4.4,3.4,3.7,3.5,3.2,2.1,2.4
Missouri River,4.8,4.1,4.3,4.4,4,4.3,3.5,3.5,3.4,2.8,3.8,4.8
Manhattan KS,6.2,6.3,4.8,3.5,5.1,5.5,4.1,3.8,3.7,2.9,2.7,5.4
Scottsbluff NE,5.1,8.7,8.6,6.2,4.4,2.6,1.4,1.2,1.3,1.1,0.5,0.5
Fort Laramie WY,2.8,6.1,4.2,4.7,3.4,2.1,1.8,1.4,1.3,2.9,3.2,5.2
Salt Lake City UT,12.8,11.8,8.5,5.3,2.4,1,0.6,0.6,1,2,7.8,11.4
Carson River,6,5,2.9,0.8,0.6,0.3,0.2,0.2,0.4,0.7,2,5.3
Sierra Nevada Mountains,7.9,8.4,9.7,4.7,3.6,1.4,0.3,0.5,1,3.4,5.5,10
Sacramento CA,4,3.7,2.9,1.5,0.9,0.2,0,0,0.1,0.9,1.8,3.7
